Landing_Page_Size_In_KB,Same Landing Domain,Has Bank Related Keywords,Has Crypto Related Keywords,Has Card Related Keywords,Unique_Internal_Page_Link_Cnt,Unique_External_Page_Link_Cnt,Avg_External_Links_Len,Stdv_External_Links_Len,Ratio_Shortened_URL_And_External_Links,Ratio_Social_Media_Links_And_External_Links,Has_Google_Form_External_Link,Has_Paypal_External_Link,Is Cheapest TLD,Is Combined TLD,Spamhaus TLD Rank,Domain Letter Count,Domain Digit Rate,Domain Hyphen Count,xn-- Present,Money Keyword Check,Help Keyword Check,Campaign Keyword Check,War Keyword Check,For and To Keyword Check,Number Instead of Word,Is WhoIs Registrar Available,Is SSL Certificate Retrievable,K-means Label,KMedoids Label,Hierarchical Label,DBSCAN Label,GMM Label,IPQS_Flag,Domain
168.36,1,0,0,0,9,7,61.14,63.45,0.43,0.57,1,0,0,0,0.16,10,0.333,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,aid4ukraine2022.com
217.5,1,0,0,0,6,5,72.4,38.1,0.0,0.6,0,0,0,0,0.05,13,0.0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,aiderlukraine.org
21.33,1,0,0,0,9,4,30.0,11.29,0.0,0.5,0,0,0,0,0.03,11,0.0,0,0,0,1,0,0,0,0,1,0,2,2,3,0,2,0,aideukraine.fr
251.44,1,0,0,1,5,3,43.33,2.05,0.0,1.0,0,0,0,0,0.16,21,0.0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,aidforsouthernukraine.com
51.64,1,0,0,0,11,2,44.5,0.5,0.0,1.0,0,0,0,1,0.12,13,0.0,0,0,0,1,0,0,1,0,0,0,2,2,3,0,2,0,aidforukraine.co.uk
811.47,1,0,0,0,9,1,38.0,0.0,0.0,0.0,0,0,0,0,0.16,13,0.0,2,0,0,1,0,0,1,0,1,0,0,0,2,0,0,0,aid-for-ukraine.com
811.47,1,0,0,0,8,1,38.0,0.0,0.0,0.0,0,0,0,0,0.05,13,0.0,2,0,0,1,0,0,1,0,1,0,0,0,2,0,0,0,aid-for-ukraine.org
114.31,1,0,0,0,5,0,0.0,0.0,0.0,0.0,0,0,0,0,0.05,13,0.0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,aidingukraine.org
114.96,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0.05,14,0.0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,aidonslukraine.org
143.36,1,0,0,0,13,6,69.5,28.39,0.17,0.5,1,0,0,0,0.05,19,0.0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,aidonslukrainedijon.org
0.11,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0.05,12,0.0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,aidtoukraine.org
453.11,1,0,0,0,6,5,86.2,105.78,0.2,0.4,0,0,0,0,0.16,15,0.0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,aidtoukrainians.com
912.19,1,0,0,0,17,1,53.0,0.0,0.0,0.0,0,0,0,0,0.01,10,0.0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,aidukraine.ch
52.77,1,0,0,0,2,2,28.0,13.0,0.0,0.0,0,0,0,0,0.12,10,0.0,0,0,0,1,0,0,0,0,1,1,0,0,2,0,2,1,aidukraine.co
74.03,0,0,0,1,110,8,38.88,6.97,0.0,0.25,0,0,1,0,0.01,10,0.0,1,0,0,1,0,0,0,0,0,0,0,2,3,0,0,0,aid-ukraine.de
60.25,1,0,0,0,19,6,42.17,18.37,0.0,0.5,0,0,0,0,0.01,10,0.0,0,0,0,1,0,0,0,0,0,0,0,2,3,0,0,0,aidukraine.dk
94.43,1,1,0,1,23,0,0.0,0.0,0.0,0.0,0,0,1,0,0.06,10,0.0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,aid-ukraine.eu
389.67,1,0,0,0,10,4,48.0,8.46,0.0,0.5,0,1,0,1,0.05,10,0.0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,aidukraine.org.uk
37.65,1,0,0,0,6,7,35.57,11.72,0.0,0.0,0,0,0,0,0.16,16,0.0,0,0,0,1,0,0,0,0,0,0,2,2,3,0,0,0,aidukrainedirect.com
37.65,1,0,0,0,6,7,35.57,11.72,0.0,0.0,0,0,0,0,0.05,16,0.0,0,0,0,1,0,0,0,0,0,0,2,2,3,0,0,0,aidukrainedirect.org
37.65,1,0,0,0,6,7,35.57,11.72,0.0,0.0,0,0,0,0,0.03,16,0.0,0,0,0,1,0,0,0,0,1,0,2,2,3,0,0,0,aidukrainedirect.uk
3.03,1,0,1,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0.05,14,0.0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,aidukrainefund.org
605.11,1,0,1,1,153,4,41.75,13.55,0.0,0.5,0,1,0,0,0.05,13,0.0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,aidukrainenow.org
6.6,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0.05,15,0.0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,aidukrainetoday.org
3.46,1,0,0,0,5,1,130.0,0.0,0.0,0.0,0,0,0,0,0.05,22,0.0,0,0,0,1,0,0,0,0,1,0,2,2,3,0,0,0,aidukrainiansintheeast.org
22.83,1,0,0,0,21,0,0.0,0.0,0.0,0.0,0,0,0,0,0.16,14,0.0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,airwell-ukraine.com
275.42,1,0,0,0,14,6,31.5,11.01,0.0,0.0,0,0,1,0,0.01,22,0.0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,aktionsbuendnis-ukraine.de
19.71,1,0,0,0,13,4,25.5,2.69,0.5,0.25,0,0,1,0,0.01,16,0.0,1,0,0,0,0,0,0,0,1,0,2,2,3,0,2,0,aktuelles-ukraine.de
214.03,1,0,0,0,26,1,25.0,0.0,0.0,0.0,0,0,1,0,0.01,14,0.0,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,ak-ukraine-hilfe.de
182.78,1,1,0,0,2,15,31.93,13.35,0.0,0.33,0,0,0,0,0.05,10,0.091,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,all4ukraine.org
49.11,0,1,0,0,2,2,28.0,13.0,0.0,0.0,0,0,0,0,0.16,15,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,allaboutukraine.com
124.43,0,0,0,0,5,7,45.43,18.13,0.14,0.29,0,0,0,0,0.03,16,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,allbehindukraine.fr
284.8,1,0,0,0,21,0,0.0,0.0,0.0,0.0,0,0,0,0,0.05,13,0.0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,allforukraine.org
357.93,1,0,0,0,211,3,56.0,33.44,0.0,0.0,0,0,0,0,0.05,15,0.062,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,alliance4ukraine.org
642.58,1,0,0,0,47,4,284.75,365.56,0.0,0.75,0,0,0,0,0.16,12,0.0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,all-ukrainian.com
175.8,0,0,0,0,2,26,53.27,26.39,0.08,0.23,0,0,0,0,0.16,16,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,allwillbeukraine.com
175.8,0,0,0,0,2,26,53.27,26.39,0.08,0.23,0,0,0,0,0.13,16,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,allwillbeukraine.net
27.88,1,0,0,0,10,2,29.5,3.5,0.0,0.0,0,0,0,0,0.16,11,0.0,1,0,0,0,0,0,0,0,0,0,2,2,3,0,0,0,alma-ukraine.com
7.52,0,0,0,0,1,1,39.0,0.0,0.0,0.0,0,0,1,0,0.01,16,0.059,0,0,0,0,0,0,0,1,1,0,2,2,3,0,2,0,ambulance2ukraine.blog
65.6,1,0,0,0,9,0,0.0,0.0,0.0,0.0,0,0,0,0,0.05,14,0.067,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,america4ukraine.org
172.09,1,0,0,0,5,3,44.0,15.25,0.0,0.33,0,1,0,0,0.05,32,0.0,0,0,0,0,1,0,1,0,1,0,0,0,2,0,0,1,americacaresforukrainianchildren.org
4.68,1,0,0,0,1,1,40.0,0.0,0.0,0.0,0,0,0,0,0.16,17,0.0,0,0,0,0,0,0,1,0,0,1,2,2,3,0,2,0,americaforukraine.com
13.25,1,0,0,0,12,3,38.0,6.38,0.0,1.0,0,0,0,0,0.05,17,0.0,0,0,0,0,0,0,1,0,1,0,2,2,3,0,2,0,americaforukraine.org
