Landing_Page_Size_In_KB,Same Landing Domain,Has Bank Related Keywords,Has Crypto Related Keywords,Has Card Related Keywords,Unique_Internal_Page_Link_Cnt,Unique_External_Page_Link_Cnt,Avg_External_Links_Len,Stdv_External_Links_Len,Ratio_Shortened_URL_And_External_Links,Ratio_Social_Media_Links_And_External_Links,Has_Google_Form_External_Link,Has_Paypal_External_Link,Is Cheapest TLD,Is Combined TLD,Spamhaus TLD Rank,Domain Letter Count,Domain Digit Rate,Domain Hyphen Count,xn-- Present,Money Keyword Check,Help Keyword Check,Campaign Keyword Check,War Keyword Check,For and To Keyword Check,Number Instead of Word,Is WhoIs Registrar Available,Is SSL Certificate Retrievable,K-means Label,KMedoids Label,Hierarchical Label,DBSCAN Label,GMM Label,IPQS_Flag,Domain
1.19,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0.16,13,0.071,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,gamers4ukraine.com
43.02,1,0,0,0,10,3,39.33,7.72,0.0,1.0,0,0,0,0,0.16,10,0.0,1,0,0,0,0,0,0,0,1,0,2,2,3,0,0,0,gas-ukraine.com
121.8,1,0,0,0,7,12,71.42,44.62,0.08,0.33,0,0,1,0,0.06,13,0.0,2,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,gate-to-ukraine.eu
86.61,1,0,0,0,9,1,24.0,0.0,0.0,0.0,0,0,1,0,0.01,20,0.0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,gemeinsam-fuer-ukraine.de
184.97,1,0,0,0,6,6,32.83,8.71,0.0,0.33,0,1,1,0,0.01,16,0.0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,gemeinsam-ukraine.de
164.18,1,0,0,0,6,4,34.75,13.31,0.0,0.5,0,0,0,0,0.16,18,0.053,0,0,0,0,1,0,0,1,1,0,0,0,2,0,0,0,georgiasart4ukraine.com
57.93,1,0,0,0,25,2,47.0,4.0,0.0,1.0,0,0,0,0,0.05,17,0.0,0,0,0,0,0,0,0,0,1,0,2,2,3,0,0,0,geothermalukraine.org
2.16,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0.16,17,0.0,2,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,germany-for-ukraine.com
141.96,1,0,0,0,13,1,39.0,0.0,0.0,0.0,0,0,0,0,0.16,19,0.0,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,gesichter-der-ukraine.com
141.96,1,0,0,0,13,1,39.0,0.0,0.0,0.0,0,0,0,0,0.55,19,0.0,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,gesichter-der-ukraine.info
141.96,1,0,0,0,13,1,39.0,0.0,0.0,0.0,0,0,0,0,0.05,19,0.0,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,gesichter-der-ukraine.org
5.03,1,0,0,0,1,2,27.5,3.5,0.0,0.0,0,0,0,0,0.05,16,0.0,2,0,0,0,0,0,0,0,1,0,2,2,3,0,2,0,geste-pour-ukraine.org
8.62,1,0,0,0,1,4,53.0,6.96,0.0,0.75,0,0,0,0,0.16,21,0.0,0,0,0,0,0,0,2,0,1,0,2,2,3,0,2,0,gettogetherforukraine.com
105.99,0,0,0,0,7,0,0.0,0.0,0.0,0.0,0,0,0,0,0.05,10,0.0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,getukraine.org
281.38,1,1,0,1,68,1,88.0,0.0,0.0,0.0,0,0,0,0,0.16,16,0.0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,giftsfromukraine.com
40.75,1,1,0,1,12,0,0.0,0.0,0.0,0.0,0,0,0,0,0.16,18,0.0,0,0,0,0,0,0,1,0,1,0,0,2,1,0,2,0,givetoukrainetoday.com
105.99,0,0,0,0,7,0,0.0,0.0,0.0,0.0,0,0,0,0,0.13,11,0.0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,giveukraine.net
623.01,1,0,0,0,9,4,40.0,9.92,0.0,0.75,0,0,0,0,0.16,16,0.0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,givingjoyukraine.com
57.17,1,0,0,0,16,4,39.25,9.98,0.0,0.5,0,0,0,0,0.16,15,0.0,0,0,0,0,0,0,1,0,1,0,0,2,3,0,0,1,givingtoukraine.com
2.55,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0.16,18,0.0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,globallogicukraine.com
813.2,1,0,0,0,2,4,40.0,3.24,0.0,1.0,0,0,0,0,0.16,26,0.0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,globalmedicukraineresponse.com
45.98,1,0,0,0,2,2,73.5,32.5,0.0,0.0,0,0,0,0,0.16,20,0.0,0,0,0,0,0,0,1,0,1,0,2,2,3,0,0,1,globalpujaforukraine.com
1.07,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0.16,12,0.077,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,globe4ukraine.com
224.49,1,0,0,0,12,6,55.0,28.68,0.17,0.17,0,0,0,0,0.05,15,0.0,3,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,gloire-a-l-ukraine.org
0.11,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,1,0,0.33,12,0.077,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,glory2ukraine.biz
0.11,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0.12,12,0.077,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,glory2ukraine.co
0.11,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0.55,12,0.077,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,glory2ukraine.info
0.11,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0.04,12,0.077,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,glory2ukraine.mobi
0.11,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0.13,12,0.077,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,glory2ukraine.net
0.11,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,1,0,0.29,12,0.077,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,glory2ukraine.us
0.11,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0.2,12,0.077,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,glory2ukraine.world
0.11,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,1,0,0.33,12,0.077,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,glory4ukraine.biz
0.11,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0.12,12,0.077,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,glory4ukraine.co
0.11,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0.16,12,0.077,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,glory4ukraine.com
0.11,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0.55,12,0.077,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,glory4ukraine.info
0.11,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0.13,12,0.077,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,glory4ukraine.net
0.11,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0.05,12,0.077,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,glory4ukraine.org
0.11,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,1,0,0.29,12,0.077,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,glory4ukraine.us
0.11,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0.2,12,0.077,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,glory4ukraine.world
1.54,1,0,0,0,1,1,33.0,0.0,0.0,0.0,0,0,0,0,0.16,15,0.0,0,0,0,0,0,0,1,0,1,0,2,2,3,0,2,1,gloryforukraine.com
564.76,1,0,0,0,6,3,46.67,3.86,0.0,0.67,0,0,0,0,0.05,14,0.0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,gloryofukraine.org
0.11,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,1,0,0.33,14,0.0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,glorytoukraine.biz
0.11,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0.12,14,0.0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,glorytoukraine.co
53.54,1,0,0,0,1,3,66.0,51.62,0.0,0.67,0,0,0,0,0.55,14,0.0,0,0,0,0,0,0,1,0,0,1,2,2,3,0,2,0,glorytoukraine.info
174.47,1,1,1,1,1,14,65.71,77.78,0.0,0.29,0,0,0,0,0.11,14,0.0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,glorytoukraine.me
0.11,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0.04,14,0.0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,glorytoukraine.mobi
1.54,1,0,0,0,1,1,33.0,0.0,0.0,0.0,0,0,1,0,0.26,14,0.0,0,0,0,0,0,0,1,0,0,1,2,2,3,0,2,1,glorytoukraine.shop
0.11,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,1,0,0.29,14,0.0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,glorytoukraine.us
152.02,1,1,1,0,3,1,53.0,0.0,0.0,0.0,0,0,0,0,0.16,15,0.0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,gloryukrainians.com
52.34,1,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0,0.16,27,0.0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,godgaverockandrolltoukraine.com
25.48,1,0,0,0,1,1,22.0,0.0,1.0,0.0,0,0,0,0,0.16,17,0.0,0,0,0,0,0,0,1,0,1,0,2,2,3,0,2,0,golfersforukraine.com
1142.79,1,0,0,0,13,0,0.0,0.0,0.0,0.0,0,0,0,0,0.01,21,0.0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,goodfriends-for-ukraine.ch
1351.18,1,0,0,0,17,4,30.25,1.79,0.0,0.75,0,0,0,0,0.16,12,0.077,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,goods4ukraine.com
7.75,1,0,0,0,2,5,45.6,14.68,0.0,0.6,0,0,0,0,0.16,13,0.0,0,0,0,1,0,0,0,0,1,0,2,2,3,0,2,1,gosaveukraine.com
187.52,1,1,0,1,9,22,27.73,13.58,0.0,0.09,0,0,0,0,0.05,13,0.0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,gosaveukraine.org
36.35,1,0,0,0,1,2,42.0,9.0,0.0,0.5,0,0,0,0,0.05,13,0.0,0,0,0,0,0,0,0,0,1,0,2,2,3,0,0,0,goteamukraine.org
0.11,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0.05,9,0.0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,goukraine.org
36.93,1,0,0,0,26,4,45.75,10.38,0.0,0.75,0,0,0,0,0.16,10,0.0,1,0,0,0,0,0,0,0,1,0,2,2,3,0,0,0,gpc-ukraine.com
0.11,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0.16,14,0.0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,greatukrainian.com
56.78,0,0,0,0,83,5,96.6,41.6,0.0,0.0,0,0,0,0,0.01,19,0.05,0,0,0,0,0,0,0,1,0,0,2,2,3,0,0,0,guesthousing4ukraine.nl
1172.64,1,0,0,0,11,9,35.22,8.93,0.11,0.33,0,0,1,0,0.01,12,0.077,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,guide4ukraine.de
19.68,1,1,1,0,1,17,40.47,28.65,0.0,0.12,0,0,0,0,0.16,8,0.111,0,0,0,0,0,0,0,1,1,0,2,2,3,0,2,0,h4ukraine.com
189.5,1,0,0,0,12,6,58.67,26.56,0.17,0.5,0,0,0,0,0.01,14,0.067,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,haarlem4ukraine.nl
34.51,1,0,0,0,7,0,0.0,0.0,0.0,0.0,0,0,0,0,0.16,14,0.067,0,0,0,0,0,0,0,1,1,0,0,0,2,0,1,0,hackers4ukraine.com
824.79,1,0,0,0,8,1,48.0,0.0,0.0,1.0,0,0,0,0,0.02,21,0.0,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,halifax-ukrainian-store.ca
15.93,1,0,0,0,1,1,42.0,0.0,0.0,0.0,0,0,0,0,0.16,21,0.0,0,0,0,0,0,0,1,0,1,0,2,2,3,0,2,1,hamantashenforukraine.com
124.71,1,0,0,0,23,2,26.0,2.0,0.5,0.0,0,0,0,1,0.05,17,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,handinhandukraine.org.uk
132.24,1,0,0,0,6,3,49.67,19.6,0.0,0.67,0,0,0,0,0.05,20,0.0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,handtohandaidukraine.org
9.93,1,0,0,0,1,1,47.0,0.0,0.0,1.0,0,0,0,0,0.01,16,0.0,0,0,0,0,0,0,0,0,1,0,2,2,3,0,0,0,hanepeaceukraine.fi
51.68,1,0,0,0,4,14,95.0,141.11,0.0,0.0,0,0,0,0,0.01,14,0.0,1,0,0,0,1,0,1,0,1,0,2,2,3,0,0,0,h-artforukraine.nl
158.65,0,0,0,1,2,0,0.0,0.0,0.0,0.0,0,0,0,0,0.16,12,0.0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,hdforukraine.com
34.74,1,0,0,0,11,10,39.2,22.32,0.0,0.0,0,0,0,0,0.16,13,0.071,0,0,0,0,0,0,0,1,1,0,2,2,3,0,2,0,health4ukraine.com
55.62,1,0,0,0,9,1,121.0,0.0,0.0,1.0,0,0,0,0,0.16,17,0.056,0,0,0,0,1,0,0,1,1,0,2,2,3,0,0,0,healthcare4ukraine.com
55.62,1,0,0,0,8,1,121.0,0.0,0.0,1.0,0,0,0,0,0.01,17,0.056,0,0,0,0,1,0,0,1,1,0,2,2,3,0,0,0,healthcare4ukraine.nl
55.62,1,0,0,0,9,1,121.0,0.0,0.0,1.0,0,0,0,0,0.05,17,0.056,0,0,0,0,1,0,0,1,1,0,2,2,3,0,0,0,healthcare4ukraine.org
2760.33,1,0,0,0,7,6,43.17,34.55,0.0,0.67,0,0,0,0,0.16,13,0.0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,healthukraine.com
46.91,1,0,0,0,25,10,48.1,42.26,0.0,0.4,0,0,0,0,0.05,16,0.0,0,0,0,0,0,0,0,0,1,0,2,2,3,0,0,0,healukrainegroup.org
194.42,1,0,1,0,11,7,33.43,8.8,0.0,0.29,0,0,1,0,0.29,16,0.0,0,0,0,0,1,0,1,0,1,0,0,0,2,0,0,0,heartsforukraine.us
106.47,1,0,0,0,4,0,0.0,0.0,0.0,0.0,0,0,0,0,0.16,11,0.0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,hearukraine.com
156.98,1,0,0,0,74,3,42.0,6.48,0.33,0.33,0,0,1,0,0.01,22,0.0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,heidelberg-hilft-ukraine.de
141.95,1,0,0,0,19,2,52.0,3.0,0.0,1.0,0,0,1,0,0.01,21,0.0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,heidenheim-fuer-ukraine.de
151.53,1,0,0,0,9,7,28.43,13.78,0.0,0.57,0,0,1,0,0.01,19,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,heljenshilftukraine.de
8.53,1,0,0,0,26,3,119.33,38.66,0.0,0.67,0,0,0,0,0.01,12,0.0,0,0,0,0,0,0,0,0,0,0,2,2,3,0,0,0,helloukraine.ch
1.19,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0.16,11,0.083,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,help2ukraine.com
14.84,1,1,0,1,1,5,54.2,31.38,0.0,0.0,0,0,0,0,0.02,11,0.083,0,0,0,1,0,0,0,1,0,0,2,2,3,0,2,0,help4ukraine.ca
15.02,1,0,0,0,8,1,18.0,0.0,0.0,0.0,0,0,0,0,0.01,11,0.083,0,0,0,1,0,0,0,1,1,0,2,2,3,0,2,1,help4ukraine.ch
1.19,1,0,0,0,1,5,51.0,32.53,0.0,0.4,0,0,0,0,0.16,11,0.071,2,0,0,1,0,0,0,0,0,0,2,2,3,0,2,0,help-4-ukraine.com
9.85,1,0,0,0,31,0,0.0,0.0,0.0,0.0,0,0,0,0,0.03,11,0.083,0,0,0,1,0,0,0,1,0,0,1,2,1,-1,2,0,help4ukraine.uk
897.59,1,0,0,0,18,5,46.6,15.49,0.0,0.8,0,0,0,0,0.2,11,0.083,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,help4ukraine.world
170.5,1,0,0,0,28,1,140.0,0.0,0.0,0.0,0,0,0,0,0.16,20,0.0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,helpanimalsinukraine.com
51.59,1,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0,0.16,17,0.0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,helpbabiesukraine.com
160.4,1,1,0,0,16,6,37.67,13.78,0.0,0.17,0,1,0,0,0.05,19,0.0,3,0,0,1,0,0,1,0,0,0,0,0,2,0,0,1,help-for-rivne-ukraine.org
21.64,1,0,0,0,1,1,23.0,0.0,0.0,0.0,0,0,0,0,0.01,14,0.0,0,0,0,1,0,0,1,0,1,0,2,2,3,0,2,0,helpforukraine.at
82.22,1,0,0,0,3,6,44.0,19.17,0.17,0.33,0,0,0,0,0.02,14,0.0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,helpforukraine.ca
52.52,1,0,0,0,2,2,28.0,13.0,0.0,0.0,0,0,0,0,0.12,14,0.0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,1,helpforukraine.co
52.6,1,0,0,0,2,2,28.0,13.0,0.0,0.0,0,0,1,0,0.29,14,0.0,0,0,0,1,0,0,1,0,0,1,0,2,2,0,2,1,helpforukraine.us
52.34,1,0,0,0,1,7,50.0,15.52,0.0,0.43,0,0,0,1,0.05,24,0.0,0,0,1,1,0,0,1,0,0,0,2,2,3,0,2,0,helpforukraineappealfund.org.uk
13.49,1,0,0,0,1,2,49.0,26.0,0.0,0.0,0,0,1,0,0.01,21,0.0,3,0,0,1,0,0,1,0,0,0,2,2,3,0,2,0,help-for-ukraine-sachsen.de
184.72,1,1,0,1,8,4,102.75,119.69,0.0,0.75,0,0,0,0,0.55,17,0.0,0,0,0,1,0,0,1,0,0,0,0,2,2,0,0,0,helpforukrainians.info
0.11,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0.05,17,0.0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,helpforukrainians.org
280.19,1,0,0,1,13,4,50.0,25.7,0.0,0.5,0,0,0,0,0.16,19,0.0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,helpheroesofukraine.com
91.56,1,0,1,0,53,2,35.0,9.0,0.5,0.0,0,0,0,0,0.05,26,0.0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,helpingdisplacedukrainians.org
44.23,1,0,0,0,5,4,40.75,18.67,0.0,0.5,0,0,0,0,0.05,22,0.0,0,0,0,1,0,0,1,0,0,0,2,2,3,0,0,0,helpinghandsforukraine.org
7.86,1,0,0,0,1,1,21.0,0.0,0.0,0.0,0,0,0,0,0.01,14,0.0,0,0,0,1,0,0,0,0,0,0,2,2,3,0,2,0,helpingukraine.nl
45.3,1,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,1,0,0.08,14,0.0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,helpingukraine.pl
81.44,1,0,0,0,14,7,59.14,22.19,0.0,0.71,0,0,1,0,0.29,14,0.0,0,0,0,1,0,0,0,0,0,0,0,2,3,0,0,0,helpingukraine.us
10.24,1,0,0,0,6,0,0.0,0.0,0.0,0.0,0,0,0,1,0.05,24,0.0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,helpingukrainianchildren.org.uk
0.11,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0.05,17,0.0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,helpingukrainians.org
144.07,1,0,0,1,4,9,48.0,26.09,0.0,0.22,0,0,0,0,0.16,20,0.0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,helpmusiciansukraine.com
128.75,1,0,0,0,2,2,30.0,8.0,0.5,0.0,0,0,0,0,0.05,14,0.0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,helpoutukraine.org
128.75,0,0,0,0,1,3,28.67,6.8,0.33,0.0,0,0,0,0,0.05,14,0.0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,help-out-ukraine.org
4.14,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0.05,22,0.0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,helppeopleleaveukraine.org
14.71,1,0,0,0,1,3,30.67,11.73,0.0,0.33,0,0,0,0,0.16,18,0.0,0,0,0,1,0,0,1,0,0,0,2,2,3,0,2,0,helprestoreukraine.com
107.82,1,0,0,0,11,1,22.0,0.0,0.0,0.0,0,0,0,0,0.16,15,0.0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,helpsaveukraine.com
817.98,1,0,0,0,7,2,32.5,13.5,0.0,0.0,0,0,0,0,0.05,15,0.0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,helpsaveukraine.org
145.15,1,0,1,0,2,3,59.67,37.37,0.0,0.0,0,0,0,0,0.16,18,0.0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,helpsaveukraineaid.com
150.75,0,1,0,0,1,4,31.5,5.59,0.25,0.0,0,0,0,0,0.16,14,0.0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,helptheukraine.com
679.75,1,0,0,0,8,2,56.0,9.0,0.0,0.5,0,0,0,1,0.12,13,0.0,0,0,0,1,0,0,1,0,1,1,0,0,2,0,0,0,helptoukraine.co.uk
120.85,1,1,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,1,0.05,13,0.0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,helptoukraine.org.uk
173.37,1,0,1,0,6,6,35.0,11.97,0.17,0.67,0,0,0,0,0.01,13,0.0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,helptoukraine.pt
91.07,1,0,0,0,36,5,39.4,4.03,0.0,0.8,0,0,0,0,0.0,11,0.0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,helpukraine.brussels
269.75,1,1,0,0,5,12,63.92,41.52,0.17,0.33,0,0,0,0,0.03,11,0.0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,1,helpukraine.center
1.07,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,1,0,0.21,11,0.0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,helpukraine.cloud
140.47,1,0,0,0,12,10,51.0,25.6,0.0,0.3,1,0,0,1,0.16,11,0.0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,helpukraine.com.pl
657.39,1,0,0,0,4,7,44.29,34.8,0.0,0.29,0,1,0,0,0.01,11,0.0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,helpukraine.community
19.78,1,0,0,0,9,1,34.0,0.0,0.0,0.0,0,0,0,0,0.01,11,0.0,0,0,0,1,0,0,0,0,0,0,2,2,3,0,2,0,helpukraine.cz
47.39,1,0,1,0,9,0,0.0,0.0,0.0,0.0,0,0,0,0,0.01,11,0.0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,help-ukraine.dev
1.06,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0.03,11,0.0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,helpukraine.fr
95.42,0,0,0,0,1,10,69.5,56.83,0.2,0.1,0,0,1,0,0.25,11,0.0,0,0,0,1,0,0,0,0,0,0,2,2,2,0,0,0,helpukraine.help
114.06,1,0,0,0,18,0,0.0,0.0,0.0,0.0,0,0,1,0,0.25,11,0.0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,help-ukraine.help
6.63,1,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0,0.02,11,0.0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,help-ukraine.io
162.72,1,1,0,0,20,0,0.0,0.0,0.0,0.0,0,0,0,0,0.02,11,0.0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,helpukraine.is
106.58,1,1,0,0,2,3,23.0,0.82,0.0,0.0,0,0,0,0,0.02,11,0.0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,helpukraine.jetzt
161.64,1,1,0,1,36,0,0.0,0.0,0.0,0.0,0,0,0,0,0.01,11,0.0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,helpukraine.lt
469.29,1,0,0,0,5,3,42.67,17.63,0.33,0.33,0,0,0,0,0.01,11,0.0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,help-ukraine.lu
218.01,0,0,0,0,2,3,35.0,8.16,0.0,0.67,0,0,0,0,0.01,11,0.0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,helpukraine.lv
0.11,1,0,0,0,1,1,29.0,0.0,0.0,0.0,0,0,0,0,0.11,11,0.0,0,0,0,1,0,0,0,0,1,1,2,2,3,0,2,0,helpukraine.me
1.06,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0.01,11,0.0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,helpukraine.nl
173.44,1,1,0,0,7,1,37.0,0.0,0.0,0.0,0,0,0,0,0.01,11,0.0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,help-ukraine.nl
147.05,1,0,0,0,7,4,57.25,26.18,0.0,0.5,0,0,0,0,0.01,11,0.0,1,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,help-ukraine.nu
111.99,1,0,0,0,7,1,57.0,0.0,0.0,1.0,0,0,0,1,0.05,11,0.0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,helpukraine.org.au
36.98,1,0,0,0,16,3,35.33,9.46,0.0,0.33,0,0,0,0,0.15,11,0.0,0,0,0,1,0,0,0,0,0,0,2,2,3,0,0,0,helpukraine.social
0.11,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0.02,11,0.0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,helpukraine.team
1393.87,1,1,0,0,3,4,35.0,5.48,0.25,0.5,0,0,1,0,0.1,11,0.0,1,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,help-ukraine.today
36.02,1,0,0,0,2,2,68.0,27.0,0.0,0.0,0,0,1,0,0.29,11,0.0,0,0,0,1,0,0,0,0,0,0,2,2,3,0,0,1,helpukraine.us
1.19,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,1,0,0.29,11,0.0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,help-ukraine.us
